%From  To    Weight(1:closed lines 0: open switch)  Admittance  type (1: lines 0 switch)


3	4	1	26.29635396
3	5	1	18.40744777
3	9	1	15.33953981
5	6	1	23.00930971
5	7	1	14.15957521
7	8	1	18.40744777
9	10	1	23.00930971
10	14	1	20.45271974
10	11	1	20.45271974
10	15	1	15.33953981
11	16	1	10.82791045
15	36	1	30.67907962
15	20	1	5.578014476
16	13	1	18.40744777
16	12	1	18.40744777
17	18	1	12.27163185
17	19	1	13.14817698
20	21	1	18.40744777
20	23	1	15.33953981
21	22	1	14.15957521
23	24	1	8.765451319
23	25	1	18.40744777
25	26	1	8.367021714
25	27	1	16.73404343
27	28	1	13.14817698
27	30	1	23.00930971
28	29	1	16.73404343
28	33	1	20.45271974
29	35	1	9.203723885
30	31	1	15.33953981
31	32	1	13.14817698
32	123	1	23.00930971
33	34	1	15.33953981
36	17	1	46.01861943
37	38	1	7.079787604
37	42	1	18.40744777
38	39	1	15.33953981
38	40	1	18.40744777
40	41	1	14.15957521
42	43	1	14.15957521
42	44	1	18.40744777
44	45	1	9.203723885
44	46	1	23.00930971
46	47	1	23.00930971
46	49	1	18.40744777
47	48	1	15.33953981
49	50	1	30.67907962
49	51	1	18.40744777
51	52	1	18.40744777
52	53	1	18.40744777
53	118	1	23.00930971
54	55	1	36.81489554
55	56	1	16.73404343
56	57	1	13.14817698
56	59	1	16.73404343
57	58	1	18.40744777
59	60	1	6.135815923
59	62	1	18.40744777
60	61	1	8.367021714
62	63	1	18.40744777
62	64	1	26.29635396
64	65	1	13.14817698
65	66	1	10.82791045
66	67	1	14.15957521
67	68	1	23.00930971
69	70	1	16.73404343
69	74	1	18.40744777
69	99	1	16.73404343
70	71	1	14.15957521
71	72	1	16.73404343
72	73	1	16.73404343
74	75	1	23.00930971
74	78	1	13.14817698
75	76	1	11.50465486
76	77	1	11.50465486
78	79	1	6.574088489
78	88	1	46.01861943
79	80	1	20.45271974
80	81	1	9.688130405
80	82	1	9.688130405
82	83	1	18.40744777
83	84	1	6.817573248
83	86	1	18.40744777
84	85	1	9.688130405
86	87	1	10.22635987
88	89	1	26.29635396
89	90	1	16.73404343
89	91	1	20.45271974
91	92	1	20.45271974
91	93	1	15.33953981
93	94	1	20.45271974
93	95	1	16.73404343
95	96	1	15.33953981
95	97	1	23.00930971
97	98	1	16.73404343
99	100	1	8.367021714
100	101	1	15.33953981
101	102	1	5.752327428
102	127	1	20.45271974
103	104	1	16.73404343
103	107	1	14.15957521
104	105	1	6.574088489
105	106	1	20.45271974
107	108	1	14.15957521
107	110	1	8.003238161
108	109	1	10.22635987
110	111	1	4.601861943
110	125	1	15.33953981
111	112	1	8.003238161
112	113	1	36.81489554
112	114	1	8.765451319
114	115	1	14.15957521
115	116	1	12.27163185
117	37	1	11.50465486
1	2	1	11.50465486
119	54	1	13.14817698
120	69	1	18.40744777
122	103	1	18.40744777
15	119	1	10000
20	117	1	10000
62	120	0	10000
63	129	1	10000
99	122	1	10000
123	124	1	10000
127	128	1	10000
56	96	1	10000
118	125	0	10000
125	126	1	10000
97	121	1	10000
%120	69	1	10000
2	3	1	10000


